kVA,Abonnement (€),Bleu HP (ct€/kWh),Bleu HC (ct€/kWh),Blanc HP (ct€/kWh),Blanc HC (ct€/kWh),Rouge HP (ct€/kWh),Rouge HC (ct€/kWh)
6,"12,96","12,96","16,09","14,86","18,94","15,68","75,62"
9,"16,16","12,96","16,09","14,86","18,94","15,68","75,62"
12,"19,44","12,96","16,09","14,86","18,94","15,68","75,62"
15,"22,45","12,96","16,09","14,86","18,94","15,68","75,62"
18,"25,44","12,96","16,09","14,86","18,94","15,68","75,62"
30,"38,29","12,96","16,09","14,86","18,94","15,68","75,62"
36,"44,42","12,96","16,09","14,86","18,94","15,68","75,62"
